name,code
CoFreeUnusedLibraries,297
GetFileVersionInfoSizeA,298
GetFileVersionInfoA,299
VerQueryValueA,300
InternetCanonicalizeUrlA,301
GetUserDefaultUILanguage,302
SetNamedPipeHandleState,303
GetFileTime,304
SetFirmwareEnvironmentVariableW,305
SetThreadContext,306
ExtendVirtualBuffer,307
FreeLibraryAndExitThread,308
InitializeSListHead,309
lstrcmpiW,310
SetComputerNameExA,311
__getmainargs,312
__CxxFrameHandler,313
_CxxThrowException,314
_ultoa,315
?terminate@@YAXXZ,316
_onexit,317
__dllonexit,318
_controlfp,319
??1type_info@@UAE@XZ,320
_except_handler3,321
__set_app_type,322
__p__fmode,323
__p__commode,324
_adjust_fdiv,325
__setusermatherr,326
_initterm,327
??3@YAXPAX@Z,328
__initenv,329
exit,330
_cexit,331
_XcptFilter,332
_exit,333
_c_exit,334
printf,335
puts,336
?set_terminate@@YAP6AXXZP6AXXZ@Z,337
??2@YAPAXI@Z,338
ConnectNamedPipe,339
CreateNamedPipeA,340
DisconnectNamedPipe,341
SetThreadPriority,342
CreateWaitableTimerA,343
SetWaitableTimer,344
CancelWaitableTimer,345
GetOverlappedResult,346
WaitForMultipleObjects,347
OpenProcess,348
DuplicateHandle,349
CreateThread,350
ResumeThread,351
PulseEvent,352
GetProcessHeap,353
OpenEventA,354
InitializeCriticalSectionAndSpinCount,355
SetEvent,356
ResetEvent,357
ExpandEnvironmentStringsA,358
QueryPerformanceCounter,359
GetCurrentProcessId,360
GetSystemTimeAsFileTime,361
strpbrk,362
_strnicmp,363
isgraph,364
sprintf,365
_itoa,366
FatalAppExitA,367
GlobalMemoryStatus,368
GenerateConsoleCtrlEvent,369
GetThreadSelectorEntry,370
GetNamedPipeInfo,371
GetDateFormatA,372
GetShortPathNameW,373
GetComputerNameW,374
GetTapeStatus,375
GetCommProperties,376
GetProfileStringW,377
MethCallEngine,378
EVENT_SINK_AddRef,380
DllFunctionCall,381
EVENT_SINK_Release,382
EVENT_SINK_QueryInterface,383
__vbaExceptHandler,384
ProcCallEngine,385
MapViewOfFile,387
CreateFileMappingW,388
FindResourceW,389
CreateFileW,390
FindResourceExW,391
GetTempPathW,392
GetModuleHandleW,393
GetTempFileNameW,394
GetStartupInfoW,395
IsDebuggerPresent,396
GetModuleFileNameW,397
GetCommandLineW,398
SetConsoleCtrlHandler,399
GetConsoleCP,400
GetConsoleMode,401
GetTimeFormatA,402
WriteConsoleA,403
GetConsoleOutputCP,404
WriteConsoleW,405
RegOpenKeyExW,406
CorBindToRuntimeEx,408
__vbaVarSub,409
__vbaStrI2,410
_CIcos,411
_adj_fptan,412
__vbaVarMove,413
__vbaHresultCheck,414
__vbaVarVargNofree,416
__vbaFreeVar,417
__vbaAryMove,418
__vbaLenBstr,419
__vbaStrVarMove,420
__vbaFreeVarList,421
__vbaPut3,422
__vbaEnd,423
_adj_fdiv_m64,424
__vbaPut4,425
_adj_fprem1,426
__vbaCopyBytes,427
__vbaStrCat,428
__vbaLsetFixstr,429
__vbaHresultCheckObj,430
__vbaLenBstrB,431
_adj_fdiv_m32,432
__vbaAryVar,433
__vbaAryDestruct,434
__vbaVarIndexLoadRefLock,435
__vbaOnError,436
__vbaObjSet,437
_adj_fdiv_m16i,438
_adj_fdivr_m16i,439
__vbaVarIndexLoad,440
__vbaStrFixstr,441
__vbaFpR8,442
_CIsin,443
__vbaErase,444
__vbaVarZero,445
__vbaChkstk,446
__vbaFileClose,447
__vbaGenerateBoundsError,448
__vbaStrCmp,449
__vbaGet3,450
__vbaAryConstruct2,451
__vbaPutOwner3,452
__vbaVarTstEq,453
__vbaI2I4,454
__vbaRedimPreserve,455
__vbaLbound,456
_adj_fpatan,457
__vbaFixstrConstruct,458
__vbaRedim,459
__vbaNew,460
__vbaUI1I2,461
_CIsqrt,462
__vbaVarAnd,463
